cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0001860742,2025,1,False,False,False,False,False,False,False,False,False,True
0001860782,2022,1,False,False,False,False,False,False,True,False,False,False
0001860871,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001861107,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001861541,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001861560,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001861622,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001861657,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001861795,"2021,2022,2023,2024,2025",5,False,False,False,False,False,True,True,True,True,True
0001862068,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001862080,2025,1,False,False,False,False,False,False,False,False,False,True
0001862150,"2023,2025",2,False,False,False,False,False,False,False,True,False,True
0001862327,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001862463,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001862935,2025,1,False,False,False,False,False,False,False,False,False,True
0001863294,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001863688,"2023,2025",2,False,False,False,False,False,False,False,True,False,True
0001863719,2024,1,False,False,False,False,False,False,False,False,True,False
0001863990,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001864032,2024,1,False,False,False,False,False,False,False,False,True,False
0001864196,2025,1,False,False,False,False,False,False,False,False,False,True
0001864448,"2021,2022,2023",3,False,False,False,False,False,True,True,True,False,False
0001864531,2025,1,False,False,False,False,False,False,False,False,False,True
0001864891,"2021,2022",2,False,False,False,False,False,True,True,False,False,False
0001864943,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001865107,2025,1,False,False,False,False,False,False,False,False,False,True
0001865111,2024,1,False,False,False,False,False,False,False,False,True,False
0001865120,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001865174,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
