cik,name,name_clean,ticker,gvkey,sic,name_source
0000062996,MASCO CORP,masco,MAS,7085,3430.0,crosswalk
0000063276,MATTEL INC,mattel,MAT,7116,3942.0,crosswalk
0000063296,MATTHEWS INTL CORP  -CL A,matthews intl corp cl a,MATW,30477,3990.0,crosswalk
0000063330,MAUI LAND & PINEAPPLE CO,maui land pineapple,MLP,7117,6552.0,crosswalk
0000063754,MCCORMICK & CO INC,mccormick,MKC,7146,2090.0,crosswalk
0000063908,MCDONALD'S CORP,mcdonalds,MCD,7154,5812.0,crosswalk
0000064040,S&P GLOBAL INC,sp global,MHP,7163,7323.0,crosswalk
0000064463,SOLUNA HOLDINGS INC,soluna,MKTY,7183,7372.0,crosswalk
0000064472,Gencor Industries Inc,gencor industries,GNCI,,3531.0,ticker_map
0000064803,CVS HEALTH CORP,cvs health,CVS,7241,8000.0,crosswalk
0000064996,MERCURY GENERAL CORP,mercury general,MCY,17035,6331.0,crosswalk
0000065172,MESABI TRUST,mesabi trust,MSB,7279,6795.0,crosswalk
0000065270,METHODE ELECTRONICS INC,methode electronics,METH,7291,3678.0,crosswalk
0000065312,EVI INDUSTRIES INC,evi industries,DCU,7295,5080.0,crosswalk
0000065596,SIEBERT FINANCIAL CORP,siebert financial,SIEB,7315,6211.0,crosswalk
0000065759,MICROPAC INDUSTRIES INC,micropac industries,MPAD,7344,3674.0,crosswalk
0000065770,MICROVISION INC,microvision,MVIS,63531,3679.0,crosswalk
0000065984,ENTERGY CORP,entergy,ETR,7366,4911.0,crosswalk
0000066004,MIDDLESEX WATER CO,middlesex water,MSEX,7368,4941.0,crosswalk
0000066382,MILLERKNOLL INC,millerknoll,MLHR,7401,2520.0,crosswalk
0000066418,MEXCO ENERGY CORP,mexco energy,MXC,7309,1311.0,crosswalk
0000066570,MSA SAFETY INC,msa safety,MSA,7420,3842.0,crosswalk
0000066740,3M CO,3m,MMM,7435,9997.0,crosswalk
0000066756,ALLETE INC,allete,ALE,7437,4931.0,crosswalk
0000066901,ENTERGY MISSISSSIPPI,entergy mississsippi,,7449,4911.0,crosswalk
0000066904,MISSISSIPPI POWER CO,mississippi power,MPF,7450,4911.0,crosswalk
0000067215,DYCOM INDUSTRIES INC,dycom industries,DY,4115,1623.0,crosswalk
0000067347,MODINE MANUFACTURING CO,modine manufacturing,MOD,7486,3585.0,crosswalk
0000067716,MDU RESOURCES GROUP INC,mdu resources,MDU,6867,4932.0,crosswalk
0000067887,MOOG INC  -CL A,moog inc cl a,MOGA,7549,3728.0,crosswalk
0000068505,MOTOROLA SOLUTIONS INC,motorola solutions,MSI,7585,3663.0,crosswalk
0000068622,QWEST CORP,qwest,,148998,4813.0,crosswalk
0000069422,INTERGROUP CORP,intergroup,INTG,7632,7011.0,crosswalk
0000069488,MYERS INDUSTRIES INC,myers industries,MYE,7636,3089.0,crosswalk
0000069633,NAPCO SECURITY TECH INC,napco security tech,NSSC,7685,3669.0,crosswalk
0000069733,NATHAN'S FAMOUS INC,nathans famous,NATH,7696,2013.0,crosswalk
0000069891,NATIONAL BEVERAGE CORP,national beverage,FIZZ,24463,2086.0,crosswalk
