cik,name,alias,alias_clean,alias_source
0000924168,"ENERGY FOCUS, INC/DE",FIBERSTARS INC /CA/,fiberstars inc ca,input_alias
0000924383,Genasys Inc.,AMERICAN TECHNOLOGY CORP /DE/,american technology corp de,input_alias
0000924383,Genasys Inc.,LRAD Corp,lrad,input_alias
0000924515,GUIDED THERAPEUTICS INC,SPECTRX INC,spectrx,input_alias
0000924805,Freedom Holding Corp.,BMB MUNAI INC,bmb munai,input_alias
0000924805,Freedom Holding Corp.,INTERUNION FINANCIAL CORP,interunion financial,input_alias
0000924901,"Veris Residential, Inc.",CALI REALTY CORP /NEW/,cali realty corp new,input_alias
0000924901,"Veris Residential, Inc.",CALI REALTY L P,cali realty l p,input_alias
0000924901,"Veris Residential, Inc.",MACK CALI REALTY CORP,mack cali realty,input_alias
0000925528,HUDSON TECHNOLOGIES INC /NY,REFRIGERANT RECLAMATION INDUSTRIES INC,refrigerant reclamation industries,input_alias
0000925741,"BioCardia, Inc.",CLICKNSETTLE COM INC,clicknsettle com,input_alias
0000925741,"BioCardia, Inc.","Cardo Medical, Inc.",cardo medical,input_alias
0000925741,"BioCardia, Inc.","Tiger X Medical, Inc.",tiger x medical,input_alias
0000926282,"ADTRAN Holdings, Inc.",ADTRAN INC,adtran,input_alias
0000926326,"OMNICELL, INC.",OMNICELL COM /CA/,omnicell com ca,input_alias
0000926326,"OMNICELL, INC.",OMNICELL INC /CA/,omnicell inc ca,input_alias
0000926423,"MIND TECHNOLOGY, INC",MITCHAM INDUSTRIES INC,mitcham industries,input_alias
0000926617,Aspira Women's Health Inc.,ABIOTIC SYSTEMS,abiotic systems,input_alias
0000926617,Aspira Women's Health Inc.,CIPHERGEN BIOSYSTEMS INC,ciphergen biosystems,input_alias
0000926617,Aspira Women's Health Inc.,"VERMILLION, INC.",vermillion,input_alias
0000926660,"Apartment Income REIT, L.P.",AIMCO PROPERTIES L.P.,aimco properties lp,input_alias
0000926660,"Apartment Income REIT, L.P.",AIMCO PROPERTIES LP,aimco properties lp,input_alias
0000926844,Fuss Brands Corp.,ANZA CAPITAL INC,anza capital,input_alias
0000926844,Fuss Brands Corp.,China Botanic Pharmaceutical,china botanic pharmaceutical,input_alias
